
2024/12/13 (19:14:27) | INFO: Logger set to INFO
2024/12/13 (19:14:27) | INFO: Running on /dev/pts/2
2024/12/13 (19:14:27) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/13 (19:14:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/13 (19:14:27) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/13 (19:14:36) | INFO: Quitting! Runtime: 00:00:09

2024/12/13 (19:14:38) | ===> btop++ v.1.4.0
2024/12/13 (19:14:38) | INFO: Logger set to INFO
2024/12/13 (19:14:38) | INFO: Running on /dev/pts/2
2024/12/13 (19:14:38) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/13 (19:14:38) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/13 (19:14:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (19:15:47) | ===> btop++ v.1.4.0
2024/12/13 (19:15:47) | INFO: Logger set to INFO
2024/12/13 (19:15:47) | INFO: Running on /dev/pts/2
2024/12/13 (19:15:47) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/13 (19:15:47) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/13 (19:15:47) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/13 (19:17:21) | INFO: Quitting! Runtime: 00:01:34

2024/12/13 (23:58:33) | ===> btop++ v.1.4.0
2024/12/13 (23:58:33) | INFO: Logger set to INFO
2024/12/13 (23:58:33) | INFO: Running on /dev/pts/1
2024/12/13 (23:58:33) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/13 (23:58:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/13 (23:58:33) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/13 (23:58:38) | INFO: Quitting! Runtime: 00:00:05

2024/12/14 (11:40:10) | ===> btop++ v.1.4.0
2024/12/14 (11:40:10) | INFO: Logger set to INFO
2024/12/14 (11:40:10) | INFO: Running on /dev/pts/1
2024/12/14 (11:40:10) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/14 (11:40:10) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/14 (11:40:10) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/14 (11:40:22) | INFO: Quitting! Runtime: 00:00:12

2024/12/14 (14:37:03) | ===> btop++ v.1.4.0
2024/12/14 (14:37:03) | INFO: Logger set to INFO
2024/12/14 (14:37:03) | INFO: Running on /dev/pts/3
2024/12/14 (14:37:03) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/14 (14:37:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/14 (14:37:03) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/14 (14:37:55) | INFO: Quitting! Runtime: 00:00:52

2024/12/14 (14:39:15) | ===> btop++ v.1.4.0
2024/12/14 (14:39:15) | INFO: Logger set to INFO
2024/12/14 (14:39:15) | INFO: Running on /dev/pts/6
2024/12/14 (14:39:15) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/14 (14:39:15) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/14 (14:39:15) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/14 (14:39:20) | INFO: Quitting! Runtime: 00:00:05

2024/12/14 (14:59:42) | ===> btop++ v.1.4.0
2024/12/14 (14:59:42) | INFO: Logger set to INFO
2024/12/14 (14:59:42) | INFO: Running on /dev/pts/12
2024/12/14 (14:59:42) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/14 (14:59:42) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/14 (14:59:42) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/14 (14:59:59) | INFO: Quitting! Runtime: 00:00:17
